code,date,open,close,high,low,turnoverRatio,volume,pb,pe
1,2020/2/3,13.772,13.772,14.482,13.772,1.164188201,225919483,0.994336974,9.628969519
1,2020/2/4,13.832,14.382,14.442,13.802,0.879209427,170617207,1.037692624,10.04881737
1,2020/2/5,14.372,14.412,14.672,14.102,0.768524795,149138021,1.039824869,10.06946562
1,2020/2/6,14.592,14.552,14.652,14.292,0.611064018,118581572,1.049775347,10.16582415
1,2020/2/7,14.382,14.402,14.472,14.192,0.476587008,92485296,1.039114121,10.06258287
1,2020/2/10,14.292,14.282,14.312,14.082,0.690256782,133949524,1.030585141,9.979989852
1,2020/2/11,14.382,14.572,14.722,14.342,0.725304225,140750744,1.051196843,10.17958965
1,2020/2/12,14.572,14.552,14.602,14.382,0.5516422,107050321,1.049775347,10.16582415
1,2020/2/13,14.492,14.432,14.662,14.392,0.52211594,101320528,1.041246366,10.08323113
1,2020/2/14,14.532,14.812,14.922,14.482,0.779374423,151243473,1.068254804,10.34477569
1,2020/2/17,14.822,15.152,15.152,14.712,0.795483708,154369601,1.092420249,10.57878924
1,2020/2/18,15.112,14.982,15.112,14.792,0.501713263,97361235,1.080337527,10.46178247
1,2020/2/19,14.882,15.022,15.152,14.862,0.450437014,87410693,1.08318052,10.48931347
1,2020/2/20,15.052,15.372,15.402,14.882,0.636638197,123544434,1.108056713,10.73020978
1,2020/2/21,15.272,15.362,15.502,15.232,0.512771154,99507102,1.107345965,10.72332703
1,2020/2/24,15.242,15.012,15.242,14.932,0.61414495,119179450,1.082469772,10.48243072
1,2020/2/25,14.782,14.822,14.912,14.562,0.589812227,114457502,1.068965553,10.35165844
1,2020/2/26,14.552,14.772,15.052,14.482,0.606314617,117659915,1.065411811,10.31724468
1,2020/2/27,14.742,14.892,14.932,14.672,0.502567932,97527090,1.073940791,10.3998377
1,2020/2/28,14.632,14.282,14.822,14.242,0.670236538,130064445,1.030585141,9.979989852
2,2020/2/3,25.07339,25.61339,26.50339,25.06339,1.575747479,153086547,1.600438593,7.742729868
2,2020/2/4,25.88339,26.60339,26.85339,25.88339,1.066664943,103628313,1.659936685,8.0305745
2,2020/2/5,26.49339,26.62339,26.96339,26.20339,0.824160057,80068551,1.661138667,8.036389544
2,2020/2/6,26.73339,26.88339,27.10339,26.40339,0.897430849,87186933,1.676764429,8.111985104
2,2020/2/7,26.47339,26.48339,26.58339,26.19339,0.734712287,71378548,1.652724795,7.995684242
2,2020/2/10,26.23339,27.65339,27.86339,26.10339,0.937953773,91123804,1.723040723,8.335864262
2,2020/2/11,27.53339,28.06339,28.51339,27.53339,0.705447302,68535405,1.747681347,8.455072646
2,2020/2/12,27.97339,28.06339,28.28339,27.83339,0.429829625,41758679,1.747681347,8.455072646
2,2020/2/13,28.46339,28.93339,29.73339,28.44339,0.921958222,89569809,1.79996755,8.70802702
2,2020/2/14,28.98339,29.78339,29.78339,28.95339,1.232817506,119770317,1.851051771,8.955166351
2,2020/2/17,29.92339,29.40339,29.93339,28.90339,1.052106135,102213900,1.828214119,8.844680532
2,2020/2/18,28.99339,28.68339,29.03339,28.50339,0.808994466,78595188,1.784942779,8.635338981
2,2020/2/19,28.70339,28.63339,29.08339,28.53339,0.626038667,60820721,1.781937825,8.620801374
2,2020/2/20,28.49339,28.83339,28.85339,28.26339,0.825509257,80199628,1.793957641,8.678951804
2,2020/2/21,28.78339,28.23339,28.78339,27.98339,1.090255276,105920154,1.757898191,8.504500512
2,2020/2/24,28.08339,27.88339,28.13339,27.40339,0.977847609,94999558,1.736863512,8.402737258
2,2020/2/25,27.80339,28.31339,28.63339,27.78339,1.08384104,105297000,1.762706118,8.527760684
2,2020/2/26,27.83339,29.09339,29.94339,27.58339,1.702962174,165445671,1.809583403,8.754547365
2,2020/2/27,29.21339,28.65339,29.24339,28.36339,0.94981232,92275882,1.783139806,8.626616417
2,2020/2/28,28.23339,28.57339,29.58339,28.16339,1.133587735,110129976,1.77833188,8.603356244
63,2020/2/3,35.05,35.71,37.01,35.05,5.190397547,180212366,5.741651232,32.15186031
63,2020/2/4,36.32,38.17,38.46,36.32,3.882810052,134812484,6.134980724,34.35441047
63,2020/2/5,38.5,38,39.05,37.46,3.614294937,125489548,6.107799417,34.20220172
63,2020/2/6,37.7,39.02,39.39,37.36,3.099494588,107615505,6.270887255,35.11545422
63,2020/2/7,38.68,38.73,39.11,37.71,2.774171648,96320182,6.224519144,34.855804
63,2020/2/10,38.35,39.92,40.54,38.11,2.962417329,102856136,6.414788288,35.92126526
63,2020/2/11,40.09,39.81,40.7,39.4,2.098013978,72843758,6.397200384,35.82277724
63,2020/2/12,39.55,39.94,40.1,39.18,2.343967476,81383347,6.417986089,35.93917217
63,2020/2/13,39.51,39.51,40.35,38.89,2.652973439,92112139,6.349233373,35.55417357
63,2020/2/14,39.35,39.27,39.97,38.86,2.476798204,85995275,6.310859764,35.33929062
63,2020/2/17,40,42.92,43.21,39.48,5.224224203,181386839,6.8944584,38.60730204
63,2020/2/18,42.65,43.33,43.33,41.91,3.705149521,128644050,6.960013315,38.97439374
63,2020/2/19,43.29,43.48,45.85,43.13,3.822332591,132712686,6.983996821,39.10869558
63,2020/2/20,43.92,44.39,44.9,43.52,3.134042637,108815025,7.129496754,39.92346007
63,2020/2/21,44.8,45.35,46.35,44.15,3.43062784,119112564,7.28299119,40.78299184
63,2020/2/24,47,49.91,49.91,47,4.027743369,139844618,8.012089759,44.86576775
63,2020/2/25,50.5,54.91,54.91,48.87,7.973865907,276855333,8.811539945,49.34249572
63,2020/2/26,53.3,50.75,53.73,50.3,5.956714415,206819148,8.14639739,45.61785805
63,2020/2/27,50.95,51.28,52.44,48.98,4.574913995,158842568,8.23113911,46.09239122
63,2020/2/28,48.2,49.8,50.8,48.2,4.426055399,153674147,7.994501855,44.76727973
69,2020/2/3,6.06543,6.06543,6.11543,6.06543,0.942982285,66350213,0.761251749,4.234160044
69,2020/2/4,6.04543,6.08543,6.13543,5.93543,1.066358465,75031220,0.763641864,4.24745411
69,2020/2/5,6.07543,6.11543,6.25543,6.03543,1.019050923,71702562,0.767227037,4.267395209
69,2020/2/6,6.13543,6.26543,6.30543,6.03543,0.848123617,59675758,0.785152903,4.367100704
69,2020/2/7,6.19543,6.19543,6.20543,6.09543,0.630539375,44366074,0.776787499,4.320571473
69,2020/2/10,6.13543,6.22543,6.24543,6.08543,1.029946092,72469169,0.780372672,4.340512572
69,2020/2/11,6.21543,6.24543,6.31543,6.18543,0.633522458,44575970,0.782762787,4.353806638
69,2020/2/12,6.20543,6.23543,6.23543,6.15543,0.536916259,37778555,0.78156773,4.347159605
69,2020/2/13,6.23543,6.22543,6.39543,6.22543,0.689537317,48517293,0.780372672,4.340512572
69,2020/2/14,6.23543,6.37543,6.38543,6.23543,0.626094198,44053302,0.798298537,4.440218068
69,2020/2/17,6.38543,6.47543,6.51543,6.31543,0.876261294,61655584,0.810249114,4.506688398
69,2020/2/18,6.46543,6.36543,6.51543,6.30543,0.711370946,50053553,0.79710348,4.433571035
69,2020/2/19,6.36543,6.40543,6.48543,6.36543,0.523692918,36848133,0.80188371,4.460159167
69,2020/2/20,6.40543,6.53543,6.54543,6.35543,0.749426377,52731213,0.81741946,4.546570596
69,2020/2/21,6.50543,6.46543,6.51543,6.42543,0.566974401,39893509,0.809054057,4.500041365
69,2020/2/24,6.42543,6.31543,6.43543,6.26543,0.749777731,52755935,0.791128191,4.40033587
69,2020/2/25,6.22543,6.24543,6.30543,6.17543,0.707950482,49812882,0.782762787,4.353806638
69,2020/2/26,6.16543,6.38543,6.46543,6.13543,1.187090011,83526145,0.799493595,4.446865101
69,2020/2/27,6.39543,6.30543,6.44543,6.29543,0.626180736,44059391,0.789933133,4.393688837
69,2020/2/28,6.22543,6.22543,6.42543,6.22543,0.83011304,58408496,0.780372672,4.340512572
100,2020/2/3,4.45,4.45,4.56,4.45,2.934733235,371557000,2.04418526,23.51410313
100,2020/2/4,4.45,4.82,4.9,4.44,4.822828031,610602522,2.21041571,25.42623899
100,2020/2/5,4.78,4.88,4.99,4.74,4.440443539,562190069,2.237371999,25.73631507
100,2020/2/6,4.85,5.38,5.38,4.81,6.316458701,799706228,2.462007742,28.32028245
100,2020/2/7,5.45,5.59,5.69,5.39,6.19016742,783716901,2.556354754,29.40554875
100,2020/2/10,5.45,5.5,5.63,5.38,4.229528831,535486846,2.51592032,28.94043462
100,2020/2/11,5.49,5.4,5.52,5.3,3.51989583,445642527,2.470993172,28.42364114
100,2020/2/12,5.34,5.45,5.47,5.27,3.78297228,478949778,2.493456746,28.68203788
100,2020/2/13,5.41,5.58,5.65,5.26,5.289354633,669667933,2.551862039,29.3538694
100,2020/2/14,5.52,5.46,5.62,5.41,3.541886429,448426685,2.497949461,28.73371723
100,2020/2/17,5.51,5.69,5.73,5.42,4.227432134,535221390,2.601281903,29.92234222
100,2020/2/18,5.74,6.05,6.17,5.7,5.651562119,715525841,2.763019638,31.78279873
100,2020/2/19,5.98,5.99,6.18,5.94,3.869990548,489966877,2.736063348,31.47272265
100,2020/2/20,6.06,6.6,6.6,6,5.501377828,696511498,3.010118955,34.62516285
100,2020/2/21,6.79,6.57,6.92,6.51,7.421580284,939622066,2.99664081,34.4701248
100,2020/2/24,6.7,7.07,7.2,6.52,6.900777297,873684899,3.221276553,37.05409218
100,2020/2/25,6.85,7.26,7.27,6.7,8.444776929,1069165655,3.306638135,38.03599978
100,2020/2/26,7.07,6.55,7.18,6.52,8.347545074,1056855447,2.98765538,34.36676611
100,2020/2/27,6.55,6.34,6.65,6.25,6.273630791,794283926,2.893308368,33.28149981
100,2020/2/28,5.98,5.78,6.15,5.71,9.147771998,1158169567,2.641716336,30.38745635
157,2020/2/3,5.67,5.67,5.67,5.67,0.255488844,16395700,1.148681296,10.21203493
157,2020/2/4,5.36,5.84,5.89,5.36,1.25480487,80525646,1.183121476,10.51821588
157,2020/2/5,5.81,5.84,6.04,5.81,0.746627793,47913972,1.183121476,10.51821588
157,2020/2/6,5.86,5.98,6.05,5.75,0.701272068,45003321,1.211483977,10.77036489
157,2020/2/7,5.95,5.97,6.02,5.91,0.571331985,36664567,1.209458084,10.75235424
157,2020/2/10,5.96,6.22,6.28,5.91,0.733485865,47070604,1.260105407,11.20262033
157,2020/2/11,6.2,6.25,6.36,6.18,0.552155776,35433956,1.266183086,11.25665226
157,2020/2/12,6.2,6.21,6.29,6.17,0.489895437,31438471,1.258079514,11.18460969
157,2020/2/13,6.18,6.28,6.4,6.16,0.784253079,50328531,1.272260765,11.3106842
157,2020/2/14,6.23,6.28,6.31,6.21,0.392655688,25198223,1.272260765,11.3106842
157,2020/2/17,6.3,6.4,6.42,6.27,0.491236965,31524562,1.29657148,11.52681192
157,2020/2/18,6.4,6.37,6.42,6.31,0.396500152,25444937,1.290493801,11.47277999
